n,ID,Unnamed: 0,ID_next,length,area,slope
53,3008462.0,145277,3020441.0,13068.966341358451,365626656.3277086,0.002448548658262
54,3008732.0,145547,3032125.0,18006.259492595433,370958332.42331696,0.007719537756143
55,3008819.0,145634,3030396.0,17864.212716316,374167293.0764388,0.001679335130879
56,3008912.0,145727,3029997.0,21270.542601915527,374000741.1523631,0.003196909513436
57,3008979.0,145794,3044063.0,18098.69004519924,375830415.9760417,0.002265357321309
58,3009339.0,146154,3022963.0,27992.49704953229,384456227.5949846,-3.5723858369e-05
59,3009572.0,146387,3021528.0,18317.913832667906,385075979.99426925,0.000818870540446
60,3009631.0,146446,3030079.0,18581.496268294806,390608678.9828234,0.001614509378945
61,3009685.0,146500,3024738.0,10662.373641054728,386901758.1042239,0.001219240709212
62,3010194.0,147009,3026395.0,23195.71548162613,401664707.5713145,0.002672907419006
63,3010489.0,147304,3041812.0,11136.884277633666,408033738.3096863,0.007542504519751
64,3010830.0,147645,3025816.0,12262.70888100228,417090712.7355312,0.006279199869067
65,3011001.0,147816,3043973.0,18956.18868425968,415695205.56117153,0.005433581703348
66,3011151.0,147966,3034774.0,17991.25055928215,424536087.9343165,0.004001945265714
67,3011485.0,148300,3030854.0,36875.72861793319,429732042.8671342,0.005640566513412
68,3011516.0,148331,3035778.0,18465.339947602013,432143980.95279104,0.003953352616694
69,3011657.0,148472,3031741.0,18996.713338341207,434029910.6443883,0.000473766163636
70,3011754.0,148569,3040625.0,10308.108049692742,435912413.0414214,0.004365495567476
71,3011823.0,148638,3027368.0,13804.412045465402,442031512.5029497,0.00043464364728
72,3011829.0,148644,3024800.0,31773.252899556897,438313225.1420122,0.000597987246067
73,3012264.0,149079,3027368.0,16430.049212918962,451633623.8056949,0.00152160225913
74,3012331.0,149146,3044060.0,35969.46819555113,454105540.3090835,0.000667232550382
75,3013026.0,149841,3025995.0,12652.061005128257,467994679.4802644,0.002292116674765
76,3013081.0,149896,3021795.0,34886.32001096687,468190462.416898,0.003353750122203
77,3013390.0,150205,3038979.0,41589.307796419256,476247645.3693783,0.003991410504175
78,3013448.0,150263,3024800.0,6869.480396302167,480170035.87183774,0.001746857012134
79,3013611.0,150426,3022963.0,30845.89743997494,487613223.45117927,0.006743198196932
80,3013746.0,150561,3043975.0,13572.113264111616,487053338.60116047,0.002799858744215
81,3013976.0,150791,3030143.0,6006.042700560137,500316797.6147679,0.006493460327274
82,3014231.0,151046,3026395.0,12820.564391758457,506270856.1976825,0.0
83,3014275.0,151090,3044030.0,22123.172668804407,504430561.67082393,0.002938095768319
84,3014453.0,151268,3032720.0,34177.394141220255,517709581.9648557,0.001638509939307
