AH4_LAKE_ID,GRAND_ID,Hylak_id,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
106501,0,0,14244,-71.909299,56.034011,none,Lake,11620262,337,336.999,336.998,326.6,0,0,0,57.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106480,0,0,14217,35.718057,63.5983,none,Lake,11612186,142,141.999,141.998,136,0,0,0,57,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106623,0,0,14461,-123.034131,61.801579,none,Lake,11609532,344,343.999,343.998,333.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106379,0,0,13999,-74.41517,60.950529,none,Lake,11608606,380,379.999,379.998,369.6,0,0,0,56.3,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107630,0,0,16309,76.2641,54.774843,none,Lake,11607484,96,95.999,95.998,85.6,0,0,0,1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105449,0,0,12267,-77.026189,52.933486,none,Lake,11606938,189,188.999,188.998,178.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105187,0,0,11766,-116.582776,68.136526,none,Lake,11603825,235,234.999,234.998,224.6,0,0,0,56.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107104,0,0,15377,-90.746661,66.589685,none,Lake,11603748,337,336.999,336.998,326.6,0,0,0,57.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104793,0,0,10976,34.328942,66.92967,none,Lake,11595560,45,44.999,44.998,34.6,0,0,0,56.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108608,0,0,247681,-97.505036,58.975083,none,Lake,11593956,231,230.999,230.998,220.6,0,0,0,56.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108447,0,0,17866,-71.633198,52.828996,none,Lake,11593547,554,553.999,553.998,543.6,0,0,0,55.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105982,0,0,13242,-74.582772,57.665398,none,Lake,11592735,232,231.999,231.998,221.6,0,0,0,56.3,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106233,0,0,13735,-74.402425,64.770336,none,Lake,11586395,21,20.999,20.998,10.6,0,0,0,56.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104914,0,0,11206,-114.421279,53.878803,none,Lake,11585895,673,672.999,672.998,665.2,0,0,0,56.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104510,0,0,10443,-101.739882,65.229851,none,Lake,11584989,217,216.999,216.998,206.6,0,0,0,57.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108265,0,0,17575,-105.376382,69.619311,none,Lake,11584312,128,127.999,127.998,117.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106896,0,0,14985,-74.335016,58.80383,none,Lake,11582929,190,189.999,189.998,179.6,0,0,0,55.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104412,0,0,10263,-100.3306,61.629513,none,Lake,11582719,281,280.999,280.998,270.6,0,0,0,58.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105283,0,0,11940,-64.981436,54.876934,none,Lake,11581158,484,483.999,483.998,473.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104336,0,0,10082,-72.154887,53.14138,none,Lake,11581045,430,429.999,429.998,419.6,0,0,0,57.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107635,0,0,16316,-94.38397,51.920992,none,Lake,11578749,325,324.999,324.998,314.6,0,0,0,56.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106146,0,0,13554,-105.238294,56.509468,none,Lake,11576310,514,513.999,513.998,503.6,0,0,0,56,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103702,0,0,8824,153.379057,70.691592,none,Lake,11574878,2,1.999,1.998,-8.4,0,0,0,56.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104291,0,0,9996,138.280661,70.962637,none,Lake,11573094,1,0.999,0.998,-9.4,0,0,0,57,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106068,0,0,13427,-106.419312,65.548499,none,Lake,11571117,277,276.999,276.998,266.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
101872,0,0,4869,-66.23621,55.101907,none,Lake,11570582,463,462.999,462.998,452.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107331,0,0,15776,90.168066,70.53039,none,Lake,11565643,42,41.999,41.998,31.6,0,0,0,57.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107027,0,0,15229,-106.989699,65.114685,none,Lake,11563988,329,328.999,328.998,318.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105549,0,0,12454,-65.211068,54.354312,none,Lake,11563215,470,469.999,469.998,459.6,0,0,0,56.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108392,0,0,17797,-111.256481,64.053118,none,Lake,11563120,435,434.999,434.998,424.6,0,0,0,56.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107971,0,0,17017,109.973357,72.964979,none,Lake,11561830,22,21.999,21.998,11.6,0,0,0,56.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
104820,0,0,11041,154.909079,68.632568,GLWD name missing,Lake,11560436,31,30.999,30.998,20.6,0,0,0,58.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105874,0,0,13050,-95.598116,55.341643,none,Lake,11559084,201,200.999,200.998,190.6,0,0,0,54.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106610,0,0,14447,-97.257858,65.300989,none,Lake,11557413,109,108.999,108.998,98.6,0,0,0,59.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108639,0,0,4074,-72.860663,58.585756,none,Lake,11554626,239,238.999,238.998,228.6,0,0,0,50.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
