,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
1090,3013390,342874,476247645.36937827,3013390,50.902985103134505,-114.35895898943203,187,476247645.3693744,187,51.125,245.875,588,486783099.2995025,588,1073689.7846322334,0.0022544778857635866,0.0022056841870174,0.002254477885763588,0.0022056841870173993
1087,3013390,342874,476247645.36937827,3013390,50.902985103134505,-114.35895898943203,187,476247645.3693744,187,50.875,245.625,539,489385021.72833663,539,215977791.05193597,0.4534989162716491,0.44132489034743644,0.4534989162716494,0.4413248903474363
1088,3013390,342874,476247645.36937827,3013390,50.902985103134505,-114.35895898943203,187,476247645.3693744,187,50.875,245.375,538,489385021.7283366,538,123343312.6732778,0.2589898635144192,0.25203736771034063,0.2589898635144194,0.2520373677103407
1086,3013390,342874,476247645.36937827,3013390,50.902985103134505,-114.35895898943203,187,476247645.3693744,187,50.875,245.875,540,489385021.72829884,540,135852851.85952812,0.2852567423281675,0.2775991209942509,0.28525674232816767,0.2775991209942507
1289,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.875,247.625,355,499695571.02305037,355,11558417.10138886,0.02407150850302937,0.023130917645967457,0.02407150850302938,0.023130917645967454
1286,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.625,247.625,307,502248690.66659164,307,15365693.085604412,0.03200052468435509,0.030593794212207592,0.0320005246843551,0.03805248301256216
1291,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.875,247.125,353,499695571.02305037,353,16441877.009508101,0.034241780580195565,0.032903787751902364,0.03424178058019558,0.032903787751902364
1287,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.625,247.375,306,502248690.6665529,306,252703587.09434602,0.5262793765036083,0.5031443422161513,0.5262793765036086,0.6675256871591987
1290,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.875,247.375,354,499695571.0230118,354,150519634.09526527,0.31347152643952253,0.3012226700090836,0.3134715264395227,0.30122267000908354
1288,3013448,3429183,480170035.87183774,3013448,49.724590369778895,-112.62726384478799,222,480170035.87183774,222,49.625,247.125,305,502248690.66659164,305,33580827.48572487,0.06993528328928865,0.06686095575710892,0.06993528328928868,0.0668609557571089
1187,3013611,3428963,487613223.45117927,3013611,51.37922609984042,-115.66686626650052,205,487613223.4511775,205,51.375,244.125,629,484171556.7142416,629,135887501.5948116,0.27867886894666505,0.28065981925289446,0.2786788689466655,0.28065981925289435
1186,3013611,3428963,487613223.45117927,3013611,51.37922609984042,-115.66686626650052,205,487613223.4511775,205,51.125,244.625,583,486783099.2995025,583,53943.35569356342,0.00011062734376186278,0.0001108159995102331,0.00011062734376186295,0.000110815999510233
1189,3013611,3428963,487613223.45117927,3013611,51.37922609984042,-115.66686626650052,205,487613223.4511775,205,51.375,244.625,631,484171556.71420425,631,28257470.55130117,0.05795058294626102,0.05836251667295055,0.05795058294626111,0.05836251667295055
1188,3013611,3428963,487613223.45117927,3013611,51.37922609984042,-115.66686626650052,205,487613223.4511775,205,51.375,244.375,630,484171556.7142416,630,323414307.9493704,0.6632599207633105,0.6679746124373219,0.6632599207633115,0.6679746124373216
199,3013746,342592,487053338.60116047,3013746,50.873847066714944,-108.26800214069472,36,487053338.6011563,36,50.875,251.875,564,489385021.72829884,564,197428891.44370764,0.40535373807463093,0.4034224234049361,0.40535373807463115,0.9586187372990226
200,3013746,342592,487053338.60116047,3013746,50.873847066714944,-108.26800214069472,36,487053338.6011563,36,51.125,251.875,612,486783099.2995025,612,7178748.436151745,0.014739142240087095,0.014747324725287728,0.014739142240087103,1.0
196,3013746,342592,487053338.60116047,3013746,50.873847066714944,-108.26800214069472,36,487053338.6011563,36,50.625,251.875,516,491977276.87451535,516,21670352.98049436,0.04449277165973812,0.04404746722890139,0.044492771659738146,0.07204965313378085
198,3013746,342592,487053338.60116047,3013746,50.873847066714944,-108.26800214069472,36,487053338.6011563,36,50.875,251.625,563,489385021.72837436,563,258937035.51414454,0.5316399970849719,0.529106989420415,0.5316399970849722,0.5927493342794059
201,3013746,342592,487053338.60116047,3013746,50.873847066714944,-108.26800214069472,36,487053338.6011563,36,51.125,251.625,611,486783099.2995776,611,1838310.2266577259,0.0037743509405714225,0.0037764462843981918,0.0037743509405714247,1.0
1058,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.625,245.875,492,491977276.87451535,492,27403.653864027903,5.4772604067409276e-05,5.570105602868632e-05,5.477260406740931e-05,5.570105602868633e-05
1060,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.125,245.625,395,497132598.0372331,395,6970289.716907429,0.013931752341991855,0.01402098704536246,0.013931752341991864,0.014020987045362464
1064,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.375,245.875,444,494559817.85665065,444,132872497.67157161,0.2655767271957155,0.26866820326694035,0.2655767271957157,0.2686682032669402
1061,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.125,245.375,394,497132598.0372331,394,1438108.3939014405,0.002874395584472752,0.002892806465678061,0.0028743955844727537,0.0034237940253445524
1062,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.375,245.375,442,494559817.85668886,442,30246249.919111278,0.06045419634781098,0.061157920289989856,0.060454196347811025,0.061157920289989856
1063,3013976,342866,500316797.6147679,3013976,50.36254469516924,-114.32826486245088,182,500316797.6147694,182,50.375,245.625,443,494559817.85668886,443,328762248.2594133,0.6571081559259409,0.6647572980841732,0.6571081559259413,0.6647572980841733
1320,3014231,3429223,506270856.1976825,3014231,50.575778033883296,-112.982436269794,227,506270856.1976812,227,50.375,247.125,449,494559817.8566889,449,15156425.293201078,0.02993738451988439,0.03064629342287778,0.029937384519884362,0.030646293422877828
1321,3014231,3429223,506270856.1976825,3014231,50.575778033883296,-112.982436269794,227,506270856.1976812,227,50.625,247.125,497,491977276.8745534,497,259436139.8597706,0.5124453376760636,0.5273335823717785,0.5124453376760632,0.5273335823717786
1319,3014231,3429223,506270856.1976825,3014231,50.575778033883296,-112.982436269794,227,506270856.1976812,227,50.375,246.875,448,494559817.85668886,448,19690725.760242514,0.038893658442298265,0.03981464941001009,0.03889365844229823,0.03981464941001011
1322,3014231,3429223,506270856.1976825,3014231,50.575778033883296,-112.982436269794,227,506270856.1976812,227,50.625,246.875,496,491977276.8745534,496,211987565.28446746,0.4187236193617546,0.4308889358288818,0.41872361936175423,0.43088893582888155
111,3014275,342558,504430561.67082393,3014275,50.85929717153675,-107.31682896425582,22,504430561.67081916,22,50.625,252.625,519,491977276.87451535,519,3200620.184801867,0.006345016396707789,0.006505626042599165,0.006345016396707775,0.008860543641038596
115,3014275,342558,504430561.67082393,3014275,50.85929717153675,-107.31682896425582,22,504430561.67081916,22,50.875,252.875,568,489385021.72833663,568,145694456.67542624,0.28882955900380874,0.2977092681767914,0.2888295590038081,0.3699872119945488
114,3014275,342558,504430561.67082393,3014275,50.85929717153675,-107.31682896425582,22,504430561.67081916,22,50.875,252.375,566,489385021.72833663,566,20565701.210035272,0.04077013324076906,0.04202356078942591,0.04077013324076897,0.5619033090753116
116,3014275,342558,504430561.67082393,3014275,50.85929717153675,-107.31682896425582,22,504430561.67081916,22,50.875,252.625,567,489385021.72829884,567,334969783.60055685,0.6640552913587165,0.6844708536799649,0.6640552913587151,0.9506355094929585
1343,3014453,342926,517709581.96485573,3014453,50.12800103938303,-113.47707050408191,233,517709581.96485275,233,50.125,246.875,400,497132598.0372331,400,26804637.007612985,0.051775431518732734,0.05391848596016918,0.05177543151873263,0.0539184859601692
1344,3014453,342926,517709581.96485573,3014453,50.12800103938303,-113.47707050408191,233,517709581.96485275,233,50.375,246.375,446,494559817.8566889,446,429720.4392222012,0.0008300415024023543,0.0008688947700694993,0.0008300415024023527,0.0008688947700694995
1345,3014453,342926,517709581.96485573,3014453,50.12800103938303,-113.47707050408191,233,517709581.96485275,233,50.125,246.375,398,497132598.0372331,398,241474389.35979205,0.4664282790427196,0.48573437009195414,0.46642827904271866,0.48573437009195447
1346,3014453,342926,517709581.96485573,3014453,50.12800103938303,-113.47707050408191,233,517709581.96485275,233,50.125,246.625,399,497132598.0371947,399,249000835.15822652,0.4809662479361473,0.5008740849852631,0.48096624793614634,0.5008740849852629
1436,3014497,3429493,513332190.32845175,3014497,48.702715586323166,-113.52048365036447,250,513332190.32845604,250,48.625,246.625,111,512361721.4605914,111,118042231.66058803,0.22995291135952062,0.23038846720259393,0.229952911359521,1.0
1437,3014497,3429493,513332190.32845175,3014497,48.702715586323166,-113.52048365036447,250,513332190.32845604,250,48.625,246.375,110,512361721.46063095,110,269710238.66543704,0.5254107257385567,0.526405910840787,0.5254107257385576,0.8822352463112298
1441,3014497,3429493,513332190.32845175,3014497,48.702715586323166,-113.52048365036447,250,513332190.32845604,250,48.875,246.375,158,509848471.7491345,158,1192454.9933577522,0.0023229694451749826,0.0023388419489947733,0.0023229694451749865,0.002344979167920686
1438,3014497,3429493,513332190.32845175,3014497,48.702715586323166,-113.52048365036447,250,513332190.32845604,250,48.625,246.125,109,512361721.46063095,109,5693.333548485276,1.1090934205475e-05,1.1111941642039202e-05,1.1090934205475018e-05,1.0
1439,3014497,3429493,513332190.32845175,3014497,48.702715586323166,-113.52048365036447,250,513332190.32845604,250,48.875,246.625,159,509848471.7490951,159,124381571.6755239,0.24230230252254054,0.243957918023797,0.24230230252254095,0.3269342998151299
564,3014628,3426554,518946259.0531535,3014628,52.027142641835205,-112.78435786919576,99,518946259.0531498,99,52.125,247.375,786,476279682.9200958,786,86453982.15475522,0.16659525075389495,0.18151935775362346,0.16659525075389509,0.5588650504153803
563,3014628,3426554,518946259.0531535,3014628,52.027142641835205,-112.78435786919576,99,518946259.0531498,99,52.125,247.125,785,476279682.92013264,785,196039129.8471602,0.3777638366732732,0.4116050650013429,0.37776383667327346,0.4293777275966632
560,3014628,3426554,518946259.0531535,3014628,52.027142641835205,-112.78435786919576,99,518946259.0531498,99,51.875,247.375,738,478919800.7914536,738,114091904.74089807,0.21985302476034022,0.23822757913193815,0.21985302476034038,0.9771961837903168
561,3014628,3426554,518946259.0531535,3014628,52.027142641835205,-112.78435786919576,99,518946259.0531498,99,51.875,247.125,737,478919800.7914906,737,122303134.25335887,0.23567591464385668,0.2553728913509812,0.23567591464385687,0.37016082349508084
562,3014628,3426554,518946259.0531535,3014628,52.027142641835205,-112.78435786919576,99,518946259.0531498,99,52.125,246.875,784,476279682.92013264,784,58108.05697708464,0.00011197316863427527,0.00012200406412639017,0.00011197316863427535,0.0001220040641263902
344,3014791,342628,524166221.1745933,3014791,51.5058353076871,-111.37601586561343,64,524166221.1745918,64,51.625,248.375,694,481550441.34096086,694,8576644.908710526,0.016362452524108333,0.017810480839405667,0.0163624525241083,0.018196016044429525
343,3014791,342628,524166221.1745933,3014791,51.5058353076871,-111.37601586561343,64,524166221.1745918,64,51.375,248.875,648,484171556.7142416,648,20353885.48809799,0.03883097511031414,0.042038581585061734,0.03883097511031407,0.12200055405198747
345,3014791,342628,524166221.1745933,3014791,51.5058353076871,-111.37601586561343,64,524166221.1745918,64,51.625,248.875,696,481550441.34096086,696,7471350.59571562,0.014253781136398384,0.015515198314241694,0.014253781136398356,1.0
346,3014791,342628,524166221.1745933,3014791,51.5058353076871,-111.37601586561343,64,524166221.1745918,64,51.625,248.625,695,481550441.34092367,695,251760639.1007693,0.48030687390844223,0.5228126017281128,0.4803068739084413,0.9778315392701906
341,3014791,342628,524166221.1745933,3014791,51.5058353076871,-111.37601586561343,64,524166221.1745918,64,51.375,248.625,647,484171556.7142042,647,236003701.08129948,0.4502459173207391,0.48743817725048083,0.4502459173207382,0.48743817725048083
252,3014862,3426123,530107662.0966108,3014862,51.1610931988155,-110.26260772007572,49,530107662.09660745,49,51.375,249.625,651,484171556.7142416,651,27174585.039044213,0.051262388722258995,0.05612594267920342,0.051262388722259,1.0
253,3014862,3426123,530107662.0966108,3014862,51.1610931988155,-110.26260772007572,49,530107662.09660745,49,51.375,249.875,652,484171556.7142042,652,12108020.498484515,0.022840681929773607,0.025007707145489368,0.02284068192977361,1.0
251,3014862,3426123,530107662.0966108,3014862,51.1610931988155,-110.26260772007572,49,530107662.09660745,49,51.125,249.625,603,486783099.29954004,603,269706122.8492508,0.5087761263109214,0.5540581076815245,0.5087761263109215,0.6250293712146466
249,3014862,3426123,530107662.0966108,3014862,51.1610931988155,-110.26260772007572,49,530107662.09660745,49,50.875,249.625,555,489385021.7283366,555,244051.9596395434,0.0004603818753992412,0.000498691109870174,0.00046038187539924126,0.0007624093412733187
250,3014862,3426123,530107662.0966108,3014862,51.1610931988155,-110.26260772007572,49,530107662.09660745,49,51.125,249.875,604,486783099.2995025,604,220874881.75018835,0.4166604211616467,0.45374394071617286,0.41666042116164675,0.4877861668466597
926,3014941,342763,527430991.5969854,3014941,49.666391352729136,-111.45706263910702,160,527430991.5969829,160,49.625,248.625,311,502248690.6665529,311,271109690.5830311,0.5140192648940691,0.5397917319072179,0.5140192648940686,0.539791731907218
927,3014941,342763,527430991.5969854,3014941,49.666391352729136,-111.45706263910702,160,527430991.5969829,160,49.875,248.625,359,499695571.0230118,359,64230998.27556163,0.12178085720954639,0.1285402593104106,0.12178085720954625,0.13018844421407075
928,3014941,342763,527430991.5969854,3014941,49.666391352729136,-111.45706263910702,160,527430991.5969829,160,49.875,248.375,358,499695571.02305037,358,13181013.638241041,0.024990972939096516,0.026378087785038657,0.024990972939096488,0.02659571513855464
925,3014941,342763,527430991.5969854,3014941,49.666391352729136,-111.45706263910702,160,527430991.5969829,160,49.625,248.375,310,502248690.66659164,310,178909289.1001497,0.33920890495728906,0.3562165365980322,0.33920890495728867,0.3572192445091744
853,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,49.875,249.375,362,499695571.0230504,362,307089324.9999523,0.5800497252576435,0.6145528253757259,0.5800497252576434,0.6145528253757259
854,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,49.875,249.125,361,499695571.0230118,361,22290873.29177893,0.042104410267765964,0.044608907071446505,0.04210441026776596,0.04460890707144653
855,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,49.875,249.625,363,499695571.02305037,363,809913.4095914911,0.0015298156349658155,0.0016208136644743861,0.001529815634965815,0.0016824454761497974
851,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,49.625,249.375,314,502248690.66659164,314,112796436.37498488,0.21305703781582574,0.22458283808620752,0.2130570378158257,0.24916725139852225
858,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,50.125,249.375,410,497132598.0372331,410,564849.0658680949,0.0010669226143529278,0.0011362140967987582,0.0010669226143529276,0.001136214096798758
850,3015031,3427422,529418964.6647067,3015031,49.79001101317253,-110.5933088642034,148,529418964.6647121,148,49.625,249.625,315,502248690.66659164,315,85867567.52253641,0.16219208840944613,0.17096623469256186,0.1621920884094461,0.2918725738421951
779,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.875,245.375,730,478919800.79149055,730,288131.03651686606,0.0005383488080066696,0.0006016269029609636,0.0005383488080066688,0.0006016269029609636
785,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.375,244.625,631,484171556.71420425,631,757500.0718505359,0.0014153256992910988,0.001564528236625993,0.0014153256992910966,0.001564528236625993
778,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.625,245.375,682,481550441.34096086,682,181997072.09407687,0.3400463483801578,0.37793978879403456,0.34004634838015724,0.37793978879403467
787,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.625,244.875,680,481550441.34096086,680,104527426.6500621,0.19530077780347543,0.21706433568825587,0.19530077780347513,0.2170643356882558
776,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.625,245.125,681,481550441.34092367,681,152215530.7630908,0.2844020225555109,0.3160946760618305,0.28440202255551045,0.31609467606183056
784,3015152,342696,535212546.645592,3015152,51.58725199774914,-114.89451224557416,137,535212546.64558744,137,51.375,244.875,632,484171556.7142416,632,95426886.02999114,0.17829717675355972,0.19709312681974037,0.17829717675355944,0.19709312681974028
263,3015586,342614,555352209.590039,3015586,51.13150748512318,-110.63603235075212,51,555352209.5900406,51,51.125,249.375,602,486783099.29954004,602,370626262.9802103,0.6673715465250523,0.7613786582022375,0.6673715465250553,0.8920992234065124
260,3015586,342614,555352209.590039,3015586,51.13150748512318,-110.63603235075212,51,555352209.5900406,51,50.875,249.375,554,489385021.72833663,554,73000205.90693437,0.1314484837664064,0.1491672255295497,0.13144848376640697,0.14942020170652842
262,3015586,342614,555352209.590039,3015586,51.13150748512318,-110.63603235075212,51,555352209.5900406,51,50.875,249.625,555,489385021.7283366,555,5805129.878522379,0.01045305983892224,0.011862091442890289,0.010453059838922286,0.01813501212293969
264,3015586,342614,555352209.590039,3015586,51.13150748512318,-110.63603235075212,51,555352209.5900406,51,51.125,249.125,601,486783099.2995025,601,11951821.73313902,0.02152115635222163,0.024552663702454132,0.021521156352221727,0.11844340167040074
267,3015586,342614,555352209.590039,3015586,51.13150748512318,-110.63603235075212,51,555352209.5900406,51,51.375,249.375,650,484171556.7142416,650,93968789.09123203,0.1692057535173931,0.19408159729360655,0.16920575351739384,1.0
1103,3015660,3428763,557182783.8622458,3015660,51.30485950222047,-114.05818870169662,191,557182783.8622484,191,51.125,246.125,589,486783099.29954004,589,74291873.22552644,0.13333483262091156,0.15261802090588036,0.1333348326209116,0.15261802090588042
1105,3015660,3428763,557182783.8622458,3015660,51.30485950222047,-114.05818870169662,191,557182783.8622484,191,51.375,246.125,637,484171556.7142416,637,68080807.07982965,0.12218756403044423,0.14061298342647374,0.12218756403044424,0.14061298342647333
1102,3015660,3428763,557182783.8622458,3015660,51.30485950222047,-114.05818870169662,191,557182783.8622484,191,51.125,245.875,588,486783099.2995025,588,100924088.5717344,0.18113281941727355,0.20732866181461027,0.18113281941727358,0.20732866181461018
1104,3015660,3428763,557182783.8622458,3015660,51.30485950222047,-114.05818870169662,191,557182783.8622484,191,51.375,245.875,636,484171556.71420425,636,313886014.98515785,0.5633447839313706,0.6482950322718726,0.5633447839313707,0.6482950322718735
1516,3016005,342984,564177728.8641558,3016005,49.96950064747269,-113.9228736785638,263,564177728.8641644,263,50.125,245.875,396,497132598.0371947,396,90000843.34552453,0.15952569330717734,0.1810399151068963,0.15952569330717697,0.1810399151068963
1513,3016005,342984,564177728.8641558,3016005,49.96950064747269,-113.9228736785638,263,564177728.8641644,263,49.875,246.375,350,499695571.02305037,350,32953519.205048196,0.05840981931596653,0.06594719088180209,0.0584098193159664,0.0659471908818021
1511,3016005,342984,564177728.8641558,3016005,49.96950064747269,-113.9228736785638,263,564177728.8641644,263,49.875,245.875,348,499695571.0230118,348,56059861.53807405,0.09936560532252317,0.11218802965034164,0.09936560532252295,0.11218802965034164
1512,3016005,342984,564177728.8641558,3016005,49.96950064747269,-113.9228736785638,263,564177728.8641644,263,49.875,246.125,349,499695571.02305037,349,280433558.7190353,0.49706598536532204,0.5612088138882049,0.49706598536532093,0.5612088138882048
1515,3016005,342984,564177728.8641558,3016005,49.96950064747269,-113.9228736785638,263,564177728.8641644,263,50.125,246.125,397,497132598.0372331,397,104729946.05648354,0.18563289668901323,0.21066803196969133,0.1856328966890128,0.21066803196969125
154,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.375,251.375,274,504791911.0652719,274,20540293.419514634,0.035728011743914406,0.040690615220374794,0.03572801174391445,1.0
157,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.875,251.375,370,499695571.0230118,370,21782936.45944822,0.03788947868196994,0.043592414507202186,0.037889478681969985,0.057784998914243456
153,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.375,251.625,275,504791911.0653499,275,18502240.059573174,0.03218299936792113,0.036653202347329,0.03218299936792116,1.0
156,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.625,251.375,322,502248690.66655284,322,220653770.81085348,0.3838075899821035,0.43933169943761463,0.38380758998210396,0.5293567683176544
158,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.875,251.625,371,499695571.02308893,371,96651239.07560655,0.1681162257144985,0.1934202436049622,0.1681162257144987,0.20411173293193624
155,3016302,342564,574907262.3111538,3016302,49.6526862182256,-108.49483057330876,27,574907262.3111552,27,49.625,251.625,323,502248690.6666304,323,196776782.48615855,0.3422756945095915,0.39179152906297954,0.3422756945095919,0.935958884270671
584,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.625,247.375,882,470971207.8361479,882,47305256.857621424,0.07948925254907557,0.10044192950767182,0.07948925254907553,1.0
582,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.375,246.875,832,473630135.82255274,832,309642.17333704315,0.0005203063369957663,0.0006537636647619309,0.000520306336995766,0.0006537636647619311
585,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.625,247.125,881,470971207.83618426,881,247240831.50472072,0.41545042139974897,0.5249595461273237,0.4154504213997488,1.0
580,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.375,247.125,833,473630135.82255274,833,196962609.49942923,0.33096555540005806,0.4158574267183497,0.3309655554000579,0.4677136065268378
581,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.375,247.375,834,473630135.8225162,834,36663843.47368236,0.06160798412047461,0.07741028431396399,0.06160798412047458,0.6365080172314647
583,3016827,3426564,595115129.9153962,3016827,52.51690177850531,-112.8680783808325,104,595115129.9154035,104,52.625,246.875,880,470971207.8361844,880,66632946.406612925,0.1119664801936474,0.14147987243795493,0.11196648019364734,0.3329874875776596
1037,3017071,3428622,603930545.0676337,3017071,50.62192699049771,-114.62111092378309,177,603930545.0676353,177,50.625,245.625,491,491977276.8745534,491,148513184.25900036,0.24591103310127838,0.3018700074980677,0.2459110331012785,0.3018700074980674
1036,3017071,3428622,603930545.0676337,3017071,50.62192699049771,-114.62111092378309,177,603930545.0676353,177,50.625,245.375,490,491977276.87455344,490,266296223.5394015,0.44093849154388853,0.5412774858853957,0.44093849154388876,0.5412774858853968
1039,3017071,3428622,603930545.0676337,3017071,50.62192699049771,-114.62111092378309,177,603930545.0676353,177,50.625,245.875,492,491977276.87451535,492,16503610.957652707,0.02732700157731621,0.03354547401558578,0.02732700157731622,0.03354547401558579
1038,3017071,3428622,603930545.0676337,3017071,50.62192699049771,-114.62111092378309,177,603930545.0676353,177,50.625,245.125,489,491977276.87451535,489,172617526.31158054,0.28582347377751655,0.3508648354822467,0.28582347377751666,0.35818007046665473
375,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.875,247.875,548,489385021.72829884,548,56334649.759723514,0.0892903651375876,0.11511314661975881,0.08929036513758783,0.11511314661975881
376,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.875,247.625,547,489385021.7283366,547,6895244.029122606,0.010928955087128421,0.014089609863356703,0.010928955087128447,0.014089609863356703
374,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.625,247.875,500,491977276.87451535,500,385860956.1680006,0.6115892406454992,0.7843064594758082,0.6115892406455007,0.784306459475808
370,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.375,247.875,452,494559817.85665065,452,147984.17837007385,0.0002345547789434706,0.0002992240231149701,0.00023455477894347116,0.00029922402311496963
372,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.625,248.125,501,491977276.8745534,501,12824033.570047209,0.02032608074941578,0.02606631276045121,0.020326080749415828,0.026066312760451186
373,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.625,247.625,499,491977276.8745534,499,167380615.78751883,0.2652981134056343,0.340220216776797,0.26529811340563497,0.34022021677679704
377,3017748,3426324,630915213.2250416,3017748,50.65312385817207,-112.17028416745198,70,630915213.2250484,70,50.875,248.125,549,489385021.72833663,549,1471729.7322640053,0.0023326901957886966,0.0030073044063881867,0.002332690195788702,0.00300730440638819
92,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,51.375,253.375,666,484171556.7142042,666,26759713.1644814,0.04199353875707608,0.05526907310723556,0.041993538757076045,0.06687379619825419
87,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,50.875,253.125,569,489385021.72833663,569,478477.2639762751,0.0007508658035930345,0.0009777112962845917,0.0007508658035930339,0.0011234946510211418
85,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,50.875,253.625,571,489385021.72833663,571,44047329.68609711,0.06912268584305932,0.09000547162342107,0.06912268584305926,1.0
89,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,51.125,253.625,619,486783099.29954004,619,83464352.01048163,0.13097911324545122,0.17146107194473933,0.1309791132454511,0.8376829375611935
86,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,50.875,253.375,570,489385021.7282988,570,251458452.6006879,0.39460924749736603,0.513825396029989,0.3946092474973657,0.8063173247517931
90,3017838,342556,637234059.250895,3017838,51.01583570832887,-106.57505675987461,18,637234059.2508956,18,51.125,253.375,618,486783099.29950243,618,231025734.5251719,0.3625445488534552,0.47459686841557536,0.3625445488534549,0.5285477089168626
1135,3018060,3428912,649577541.9142388,3018060,51.052311570190184,-114.73026646620522,195,649577541.9142376,195,51.125,245.625,587,486783099.29954004,587,4313291.527619154,0.006640148787946596,0.008860807891288328,0.0066401487879465945,0.00886080789128833
1132,3018060,3428912,649577541.9142388,3018060,51.052311570190184,-114.73026646620522,195,649577541.9142376,195,51.125,245.375,586,486783099.29954004,586,315112585.3226957,0.4851038790443579,0.6473367415099849,0.4851038790443578,0.6473367415099854
1131,3018060,3428912,649577541.9142388,3018060,51.052311570190184,-114.73026646620522,195,649577541.9142376,195,50.875,244.875,536,489385021.7283366,536,146527.02269961065,0.00022557279654067275,0.00029941051767814325,0.0002255727965406727,0.0002994105176781432
1130,3018060,3428912,649577541.9142388,3018060,51.052311570190184,-114.73026646620522,195,649577541.9142376,195,50.875,245.375,538,489385021.7283366,538,55287631.99042616,0.08511321347024906,0.11297369052115572,0.08511321347024904,0.11297369052115575
1128,3018060,3428912,649577541.9142388,3018060,51.052311570190184,-114.73026646620522,195,649577541.9142376,195,50.875,245.125,537,489385021.72829884,537,109152768.41005823,0.1680365489367079,0.2230406807804973,0.16803654893670789,0.2230406807804974
