,S_1_ID,S_1_area_cor,S_1_area_org,S_1_lake,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
11,3000676,254189657.6151152,254189657.6151121,0,4,49.52055598637653,-113.67756857816629,4,254189657.6151152,4,49.375,246.125,253,504791911.0653109,253,35613150.25106751,0.14010463913127283,0.07055016031439501,0.1401046391312728,0.07055016031439501
12,3000676,254189657.6151152,254189657.6151121,0,4,49.52055598637653,-113.67756857816629,4,254189657.6151152,4,49.375,246.375,254,504791911.0653109,254,46300665.745584786,0.18215007715102077,0.09172228146023981,0.18215007715102075,0.09172228146023977
13,3000676,254189657.6151152,254189657.6151121,0,4,49.52055598637653,-113.67756857816629,4,254189657.6151152,4,49.625,246.375,302,502248690.66659164,302,154228748.2986558,0.6067467486508967,0.30707645667320943,0.6067467486508966,0.30707645667320943
14,3000676,254189657.6151152,254189657.6151121,0,4,49.52055598637653,-113.67756857816629,4,254189657.6151152,4,49.625,246.125,301,502248690.66659164,301,18047093.319807153,0.07099853506680988,0.035932584106600246,0.07099853506680986,0.03593258409205484
18,3000687,255146131.39580923,255146131.3958122,0,5,52.323138460979884,-114.1067129992277,5,255146131.39580923,5,52.375,246.125,829,473630135.82255274,829,38024378.49524918,0.14902980612416894,0.08028285284088248,0.14902980612416888,0.10519008656366727
17,3000687,255146131.39580923,255146131.3958122,0,5,52.323138460979884,-114.1067129992277,5,255146131.39580923,5,52.125,245.875,780,476279682.9200959,780,2813068.495734033,0.01102532294079783,0.005906337382453439,0.011025322940797826,0.005906337382453439
20,3000687,255146131.39580923,255146131.3958122,0,5,52.323138460979884,-114.1067129992277,5,255146131.39580923,5,52.375,245.625,827,473630135.82255274,827,13518586.545240292,0.05298370181544651,0.028542496608165744,0.05298370181544649,0.028542496608165747
19,3000687,255146131.39580923,255146131.3958122,0,5,52.323138460979884,-114.1067129992277,5,255146131.39580923,5,52.375,245.875,828,473630135.82251614,828,197491393.49317077,0.7740324825337115,0.4169738759342309,0.7740324825337112,0.4169738759342309
15,3000687,255146131.39580923,255146131.3958122,0,5,52.323138460979884,-114.1067129992277,5,255146131.39580923,5,52.125,246.125,781,476279682.92013264,781,3298704.366415095,0.012928686585875768,0.006925981696700371,0.012928686585875763,0.006925981696700365
21,3000715,253307102.3335147,253307102.33351433,0,6,49.784823146084655,-111.16595550893086,6,253307102.3335147,6,49.625,248.625,311,502248690.6665529,311,829452.9242185368,0.003274495332256592,0.0016514785197702339,0.003274495332256593,0.0016514785197702343
22,3000715,253307102.3335147,253307102.33351433,0,6,49.784823146084655,-111.16595550893086,6,253307102.3335147,6,49.625,248.875,312,502248690.66659164,312,55281844.24622061,0.21824040359292504,0.11006866772086504,0.2182404035929251,0.11006866772086495
